lion	Is he a carnivore or herbivore?	carnivore
lion	Is it a vertebrate or invertebrate?	vertebrate
lion	Has it ever been domesticated?	extent;domesticate;dog;cat
lion	Is it a mammal?	yes
lion	Does it have fur?	yes
lion	In which environments does he live?	grassland;savanna;open
lion	What does it eat?	eat;meat;usually
lion	How many legs does it have, if any?	four;leg
lion	Does he produce eggs?	no
lion	Is he a prey or a predator?	predator
lion	Does it have wings, legs, or fins?	wing
lion	In what continents does he predominantly live?	primarily;find;africa
lion	Is he considered dangerous to humans?	dangerous;human;encounter
lion	Is he eaten by humans?	eat;human
lion	Is the animal capable of jumping?	yes
lion	Is he taller than humans on average?	short;stand;human;body
lion	Does he live in groups?	live;group;usually
lion	Is it commonly kept as a pet?	legal;keep;pet;nature
lion	Does it migrate long distances?	not migrate
lion	Is it known for its intelligence?	intelligent;intelligent;animal
lion	Is it an endangered species?	classify;vulnerable;particularly
lion	Is it a nocturnal animal?	crepuscular;mean;active
lion	Does it hibernate?	no
lion	Does it have sharp teeth?	yes
lion	Does it have sharp claws?	yes
lion	Is he a feline?	yes
lion	Is he an amphibian?	no
lion	Is he a reptile?	no
lion	What is his most distinguishable feature?	mane;one
lion	Does X have cold or warm blood?	warm;blood
lion	Does X hunt in a group?	yes
lion	How does X communicate with other similar?	communicate;vocalization;body
lion	Does X have scales?	no
lion	Is the animal aquatic?	no
lion	Is this an arctic animal?	no
lion	Is this animal exploited by humans?	subject;exploitation;illegal;trade
lion	Does the animal live in cities?	live;city;rural
lion	Does this animal fly?	no
lion	How fast is it?	run;speed;35;40;mile;short;burst
lion	What are its dimensions?	adult;male;weigh;330;500;pound;female;260;400
lion	Does the animal have moist or scaly skin?	skin;neither;moist;scaly
lion	Can the animal echolocate?	no
lion	Can the animal metamorphose?	no
lion	Can the animal be typically found in a circus?	historically;find;circus;increase;awareness
tiger	Is it a carnivore or herbivore?	carnivore
tiger	Is it a vertebrate or invertebrate?	vertebrate
tiger	Has it ever been domesticated?	not domesticated
tiger	Is it a mammal?	yes
tiger	Does it have fur?	yes
tiger	In which environments does it live?	variety;environment;forest
tiger	What does it eat?	eat;meat;deer
tiger	How many legs does it have, if any?	four;leg
tiger	Does it produce eggs?	no
tiger	Is it a prey or a predator?	predator
tiger	Does it have wings, legs, or fins?	leg;wing
tiger	In what continents does it predominantly live?	find;asia;include;country;china
tiger	Is it considered dangerous to humans?	yes
tiger	Is it eaten by humans?	eat;human
tiger	Is the animal capable of jumping?	yes
tiger	Is it taller than humans on average?	not taller
tiger	Does it live in groups?	solitary;animal
tiger	Is it commonly kept as a pet?	legal;keep;pet;due;nature
tiger	Does it migrate long distances?	not migrate
tiger	Is it known for its intelligence?	intelligent
tiger	Is it an endangered species?	yes
tiger	Is it a nocturnal animal?	crepuscular;mean;active
tiger	Does it hibernate?	no
tiger	Does it have sharp teeth?	yes
tiger	Does it have sharp claws?	yes
tiger	Is it a feline?	yes
tiger	Is it an amphibian?	no
tiger	Is it a reptile?	no
tiger	What is its most distinguishable feature?	orange;black;stripe
tiger	Does it have cold or warm blood?	warm;blood
tiger	Does it hunt in a group?	solitary;hunter
tiger	How does it communicate with others of its kind?	communicate;vocalization;body
tiger	Does it have scales?	no
tiger	Is the animal aquatic?	not aquatic
tiger	Is this an arctic animal?	no
tiger	Is this animal exploited by humans?	subject;illegal;trade
tiger	Does the animal live in cities?	live;city
tiger	Does this animal fly?	no
tiger	How fast is it?	run;speed;40;burst
tiger	What are its dimensions?	adult;male;weigh;400;700;female;weigh;220;370;10
tiger	Does the animal have moist or scaly skin?	skin;neither;moist;scaly
tiger	Can the animal echolocate?	no
tiger	Can the animal metamorphose?	no
tiger	Can the animal be typically found in a circus?	find;circus;increase;awareness;animal
elephant	Is it a carnivore or herbivore?	herbivore
elephant	Is it a vertebrate or invertebrate?	vertebrate
elephant	Has it ever been domesticated?	yes
elephant	Is it a mammal?	yes
elephant	Does it have fur?	sparse;hair;fur
elephant	In which environments does it live?	variety;environment
elephant	What does it eat?	eat;vegetation;grass
elephant	How many legs does it have, if any?	four;leg
elephant	Does it produce eggs?	no
elephant	Is it a prey or a predator?	not predator
elephant	Does it have wings, legs, or fins?	wing
elephant	In what continents does it predominantly live?	africa
elephant	Is it considered dangerous to humans?	dangerous;feel;inherently;towards;human
elephant	Is it eaten by humans?	eat;human;hunting;meat
elephant	Is the animal capable of jumping?	jumping
elephant	Is it taller than humans on average?	yes
elephant	Does it live in groups?	live;group;lead
elephant	Is it commonly kept as a pet?	suitable;pet;due;associate;keep
elephant	Does it migrate long distances?	long;distance;migration;search
elephant	Is it known for its intelligence?	highly;intelligent;know;problem
elephant	Is it an endangered species?	specie;african;classify;vulnerable;due
elephant	Is it a nocturnal animal?	strictly
elephant	Does it hibernate?	no
elephant	Does it have sharp teeth?	not sharp
elephant	Does it have sharp claws?	not have
elephant	Is it a feline?	no
elephant	Is it an amphibian?	no
elephant	Is it a reptile?	no
elephant	What is its most distinguishable feature?	one;nose;upper
elephant	Does it have cold or warm blood?	warm;blood
elephant	Does it hunt in a group?	not hunt
elephant	How does it communicate with others of its kind?	communicate;use;vocalization
elephant	Does it have scales?	no
elephant	Is the animal aquatic?	not aquatic
elephant	Is this an arctic animal?	no
elephant	Is this animal exploited by humans?	historically;exploit;purpose;ivory;lead
elephant	Does the animal live in cities?	live;city;instance;conflict;urban
elephant	Does this animal fly?	no
elephant	How fast is it?	move;speed;25;mile
elephant	What are its dimensions?	african;asian;adult;male;african;13
elephant	Does the animal have moist or scaly skin?	thick;skin
elephant	Can the animal echolocate?	no
elephant	Can the animal metamorphose?	no
elephant	Can the animal be typically found in a circus?	circus;controversy;ban;animal;circus
giraffe	Is it a carnivore or herbivore?	herbivore
giraffe	Is it a vertebrate or invertebrate?	vertebrate
giraffe	Has it ever been domesticated?	no
giraffe	Is it a mammal?	yes
giraffe	Does it have fur?	yes
giraffe	In which environments does it live?	savanna;grassland
giraffe	What does it eat?	eat;leave;fruit
giraffe	How many legs does it have, if any?	four;leg
giraffe	Does it produce eggs?	no
giraffe	Is it a prey or a predator?	not predator
giraffe	Does it have wings, legs, or fins?	leg;wing
giraffe	In what continents does it predominantly live?	africa
giraffe	Is it considered dangerous to humans?	consider;human
giraffe	Is it eaten by humans?	eat;human
giraffe	Is the animal capable of jumping?	jumping
giraffe	Is it taller than humans on average?	yes
giraffe	Does it live in groups?	form;loose;group
giraffe	Is it commonly kept as a pet?	not kept
giraffe	Does it migrate long distances?	know;move;large;distance;movement
giraffe	Is it known for its intelligence?	not known
giraffe	Is it an endangered species?	currently;list;least
giraffe	Is it a nocturnal animal?	strictly;nocturnal
giraffe	Does it hibernate?	no
giraffe	Does it have sharp teeth?	molar;grind;material;tooth;sharp
giraffe	Does it have sharp claws?	not have
giraffe	Is it a feline?	no
giraffe	Is it an amphibian?	no
giraffe	Is it a reptile?	no
giraffe	What is its most distinguishable feature?	distinguishable;feature;neck
giraffe	Does it have cold or warm blood?	warm;blood
